

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
104.774  000.098  000.098: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/init.vim
105.389  000.082  000.082: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/parts.vim
106.641  000.231  000.231: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/util.vim
106.726  002.569  002.158: sourcing /Users/xuwei/.vim/bundle/vim-airline/plugin/airline.vim
106.906  000.029  000.029: sourcing /Users/xuwei/.vim/bundle/vim-airline-themes/plugin/airline-themes.vim
107.104  000.045  000.045: sourcing /Users/xuwei/.vim/bundle/rainbow_parentheses.vim/plugin/rainbow_parentheses.vim
108.246  000.305  000.305: sourcing /Users/xuwei/.vim/bundle/nerdtree/autoload/nerdtree.vim
109.866  000.749  000.749: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/path.vim
110.414  000.205  000.205: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
110.874  000.130  000.130: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
111.402  000.159  000.159: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/key_map.vim
112.097  000.367  000.367: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/bookmark.vim
112.652  000.216  000.216: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
113.325  000.335  000.335: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
113.803  000.152  000.152: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/opener.vim
114.318  000.189  000.189: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/creator.vim
114.683  000.037  000.037: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/flag_set.vim
115.124  000.114  000.114: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
115.688  000.245  000.245: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/ui.vim
116.032  000.017  000.017: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/event.vim
116.392  000.032  000.032: sourcing /Users/xuwei/.vim/bundle/nerdtree/lib/nerdtree/notifier.vim
117.085  000.349  000.349: sourcing /Users/xuwei/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
119.785  000.076  000.076: sourcing /Users/xuwei/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
120.411  000.557  000.557: sourcing /Users/xuwei/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
120.526  000.042  000.042: sourcing /Users/xuwei/.vim/bundle/nerdtree/nerdtree_plugin/vcs.vim
121.221  000.538  000.538: sourcing /Users/xuwei/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
121.805  000.424  000.424: sourcing /Users/xuwei/.vim/bundle/nerdtree-git-plugin/nerdtree_plugin/git_status.vim
122.297  015.005  009.767: sourcing /Users/xuwei/.vim/bundle/nerdtree/plugin/NERD_tree.vim
123.977  000.089  000.089: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/util.vim
132.126  008.877  008.788: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/context.vim
132.891  000.280  000.280: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/modes.vim
132.954  010.067  000.910: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/init.vim
133.718  000.141  000.141: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys.vim
134.392  000.138  000.138: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/roots.vim
134.992  000.141  000.141: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/bookmarks.vim
138.033  000.244  000.244: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/common.vim
139.291  000.341  000.341: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/help.vim
139.925  000.108  000.108: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/help.vim
141.271  000.063  000.063: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/nop.vim
142.519  000.053  000.053: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/search.vim
143.719  000.218  000.218: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/buffer.vim
145.641  000.114  000.114: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/file.vim
147.025  000.099  000.099: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/tab.vim
147.990  000.086  000.086: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/workspace.vim
148.701  000.060  000.060: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/keys/bookmark.vim
149.204  026.726  014.853: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/plugin/ctrlspace.vim
150.106  000.730  000.730: sourcing /Users/xuwei/.vim/bundle/tagbar/plugin/tagbar.vim
151.158  000.445  000.445: sourcing /Users/xuwei/.vim/bundle/vim-textobj-user/autoload/textobj/user.vim
152.368  002.048  001.603: sourcing /Users/xuwei/.vim/bundle/vim-textobj-line/plugin/textobj/line.vim
153.774  001.199  001.199: sourcing /Users/xuwei/.vim/bundle/vim-textobj-entire/plugin/textobj/entire.vim
156.139  002.163  002.163: sourcing /Users/xuwei/.vim/bundle/vim-textobj-indent/plugin/textobj/indent.vim
156.335  000.021  000.021: sourcing /Users/xuwei/.vim/bundle/goyo.vim/plugin/goyo.vim
156.537  000.054  000.054: sourcing /Users/xuwei/.vim/bundle/limelight.vim/plugin/limelight.vim
156.816  000.125  000.125: sourcing /Users/xuwei/.vim/bundle/vim-tmux-navigator/plugin/tmux_navigator.vim
175.613  018.587  018.587: sourcing /Users/xuwei/.vim/bundle/vim-isort/plugin/python_vimisort.vim
176.427  000.134  000.134: sourcing /Users/xuwei/.vim/bundle/vim-indent-guides/autoload/indent_guides.vim
176.748  000.933  000.799: sourcing /Users/xuwei/.vim/bundle/vim-indent-guides/plugin/indent_guides.vim
177.374  000.053  000.053: sourcing /usr/local/share/vim/vim82/plugin/getscriptPlugin.vim
177.589  000.154  000.154: sourcing /usr/local/share/vim/vim82/plugin/gzip.vim
177.837  000.186  000.186: sourcing /usr/local/share/vim/vim82/plugin/logiPat.vim
177.926  000.025  000.025: sourcing /usr/local/share/vim/vim82/plugin/manpager.vim
178.126  000.141  000.141: sourcing /usr/local/share/vim/vim82/plugin/matchparen.vim
178.677  000.487  000.487: sourcing /usr/local/share/vim/vim82/plugin/netrwPlugin.vim
178.767  000.011  000.011: sourcing /usr/local/share/vim/vim82/plugin/rrhelper.vim
178.856  000.022  000.022: sourcing /usr/local/share/vim/vim82/plugin/spellfile.vim
179.099  000.122  000.122: sourcing /usr/local/share/vim/vim82/plugin/tarPlugin.vim
179.247  000.080  000.080: sourcing /usr/local/share/vim/vim82/plugin/tohtml.vim
179.451  000.137  000.137: sourcing /usr/local/share/vim/vim82/plugin/vimballPlugin.vim
179.694  000.163  000.163: sourcing /usr/local/share/vim/vim82/plugin/zipPlugin.vim
179.714  009.752: loading plugins
179.787  000.073: loading packages
180.131  000.137  000.137: sourcing /Users/xuwei/.vim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
180.348  000.036  000.036: sourcing /Users/xuwei/.vim/bundle/vim-signature/after/plugin/signature.vim
